date,url,tags,au_url,au_id,title,description,year
2016-12-22,learning-from-lego-a-step-forward-in-modular-web-design,code;css,samantha-zhang,Samantha Zhang,Learning from Lego: A Step Forward in Modular Web Design,Pesky nesting issues are a thing of the past if we envision web content blocks as the tops of Lego bricks.,2016
2016-12-15,demystifying-public-speaking,industry-business;business,larahogan,Lara Hogan,Demystifying Public Speaking,The inside-out path to becoming a public speaker,2016
2016-12-13,managing-ego,process;project-management,brandongregory,Brandon Gregory,Managing Ego,Issues underlying workplace drama aren’t totally random—Brandon Gregory shows us how to stabilize ourselves and our relationships.,2016
2016-12-06,accessibility-whack-a-mole,typography-web-fonts;accessibility,eleanor-ratliff,Eleanor Ratliff,Accessibility Whack-A-Mole,Eleanor Ratliff reflects on what happens when a design solution over here creates a new problem over there.,2016
2016-11-22,insisting-on-core-development-principles,state-of-the-web;project-management,kendra-skeene,Kendra Skeene,Insisting on Core Development Principles,"We need to build core development principles into our workflows by default, insists Kendra Skeene. Every single time.",2016
2016-11-15,the-coming-revolution-in-email-design,html;business,JasonRodriguez,Jason Rodriguez,The Coming Revolution in Email Design,The rich web is coming to email. Jason Rodriguez gives us the lay of the land and sweeps us into the future.,2016
2016-11-01,awaken-the-champion-a-b-tester-within,content;user-experience,yael-tolub,Yael Tolub,Awaken the Champion A/B Tester Within,"In A/B testing as in athletics, intuition and effort will only go so far — a champion uses advanced analysis and big data to win.",2016
2016-11-01,let-emotion-be-your-guide,user-experience,hana-schank;jana-sedivy,Hana Schank;Jana Sedivy,Let Emotion Be Your Guide,"A UX gig for a hospital turned into an unexpected insight: in the realm of emotions, digital and bricks and mortar become one.",2016
2016-10-25,liminal-thinking,process;creativity,dave-gray,Dave Gray,Liminal Thinking,Challenging our own beliefs helps us validate situations.,2016
2016-10-25,network-access-finding-and-working-with-creative-communities,community,senongo-akpem,Senongo Akpem,Network Access: Finding and Working with Creative Communities,"Fresh and fluid design communities need builders, not takers",2016
2016-10-18,javascript-for-web-designers,javascript,matmarquis,Mat Marquis,JavaScript for Web Designers: DOM Scripting,"In an excerpt from JavaScript for Web Designers, Mat Marquis talks about the power and purpose of the DOM.",2016
2016-10-11,using-css-mod-queries-with-range-selectors,css,patrick-clancey,Patrick Clancey,Using CSS Mod Queries with Range Selectors,Patrick Clancey plies a creative use of mod queries and range selectors to change the layout of elements in lists.,2016
2016-10-04,redesign-with-css-shapes,code;css;html,emeyer,Eric Meyer,A Redesign with CSS Shapes,"Small but mighty, CSS float shapes and feature queries are the latest boost to our toolkit.",2016
